kbPos,-0.4213,0.0267,0.8426,kbRot,-0.94550690,-0.16671840,0.27543230,-0.04856616,p_y,,p_z,,head_x,,head_y,,head_z,,head_q_w,,head_q_x,,head_q_y,,head_q_z,,t,:,,,,,,,,,,,
-0.3764,-0.0718,0.7951,-0.4433,0.0211,0.8292,-0.1923,0.1243,0.4279,0.951876,0.128270,-0.277648,-0.019765,414159.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3764,-0.0718,0.7951,-0.4434,0.0211,0.8291,-0.1925,0.1243,0.4278,0.951770,0.128433,-0.277957,-0.019479,414174.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3776,-0.0716,0.7949,-0.4446,0.0214,0.8288,-0.1927,0.1243,0.4278,0.951715,0.127961,-0.278374,-0.019331,414191.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3776,-0.0716,0.7949,-0.4446,0.0214,0.8288,-0.1929,0.1244,0.4278,0.951670,0.127797,-0.278611,-0.019199,414208.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3791,-0.0712,0.7945,-0.4461,0.0218,0.8284,-0.1930,0.1243,0.4277,0.951530,0.128127,-0.278933,-0.019264,414225.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3791,-0.0712,0.7945,-0.4462,0.0218,0.8283,-0.1932,0.1242,0.4276,0.951308,0.128752,-0.279397,-0.019316,414242.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3804,-0.0709,0.7942,-0.4475,0.0221,0.8279,-0.1934,0.1243,0.4274,0.951112,0.128783,-0.280051,-0.019287,414259.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3804,-0.0709,0.7942,-0.4475,0.0221,0.8279,-0.1936,0.1244,0.4274,0.951062,0.128236,-0.280477,-0.019220,414275.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3815,-0.0707,0.7940,-0.4487,0.0223,0.8276,-0.1937,0.1245,0.4273,0.951130,0.127743,-0.280468,-0.019274,414291.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3815,-0.0707,0.7940,-0.4487,0.0223,0.8276,-0.1938,0.1245,0.4273,0.951171,0.127375,-0.280509,-0.019076,414309.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3850,-0.0712,0.7947,-0.4522,0.0217,0.8283,-0.1940,0.1245,0.4272,0.951172,0.127103,-0.280662,-0.018575,414325.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3850,-0.0712,0.7947,-0.4522,0.0217,0.8283,-0.1941,0.1245,0.4272,0.951140,0.126801,-0.280934,-0.018183,414342.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3863,-0.0716,0.7948,-0.4535,0.0214,0.8284,-0.1941,0.1245,0.4272,0.951093,0.126921,-0.281023,-0.018417,414358.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3863,-0.0716,0.7948,-0.4535,0.0214,0.8284,-0.1942,0.1245,0.4273,0.951019,0.127301,-0.281069,-0.018886,414375.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3870,-0.0717,0.7949,-0.4543,0.0213,0.8284,-0.1943,0.1246,0.4273,0.950956,0.127635,-0.281083,-0.019599,414392.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3870,-0.0717,0.7949,-0.4542,0.0213,0.8284,-0.1943,0.1246,0.4272,0.950938,0.127920,-0.280982,-0.020051,414408.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3882,-0.0719,0.7949,-0.4554,0.0211,0.8285,-0.1943,0.1246,0.4272,0.951018,0.127990,-0.280703,-0.019731,414425.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3882,-0.0719,0.7949,-0.4554,0.0211,0.8286,-0.1943,0.1246,0.4272,0.951205,0.127594,-0.280298,-0.019026,414442.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3893,-0.0720,0.7950,-0.4564,0.0209,0.8288,-0.1943,0.1247,0.4273,0.951391,0.126940,-0.279994,-0.018579,414458.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3906,-0.0721,0.7953,-0.4577,0.0208,0.8290,-0.1943,0.1248,0.4273,0.951471,0.126588,-0.279870,-0.018748,414475.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3906,-0.0721,0.7953,-0.4577,0.0208,0.8290,-0.1943,0.1248,0.4272,0.951419,0.126669,-0.279973,-0.019289,414491.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3906,-0.0721,0.7953,-0.4577,0.0208,0.8290,-0.1944,0.1247,0.4271,0.951334,0.126569,-0.280281,-0.019678,414507.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3923,-0.0699,0.7933,-0.4594,0.0230,0.8269,-0.1944,0.1247,0.4271,0.951168,0.126507,-0.280867,-0.019734,414525.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3924,-0.0689,0.7923,-0.4597,0.0240,0.8258,-0.1945,0.1247,0.4270,0.951040,0.126568,-0.281280,-0.019650,414541.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3924,-0.0689,0.7923,-0.4597,0.0240,0.8258,-0.1944,0.1247,0.4270,0.950990,0.126776,-0.281359,-0.019567,414557.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3926,-0.0689,0.7922,-0.4598,0.0240,0.8258,-0.1944,0.1246,0.4269,0.951029,0.127026,-0.281132,-0.019312,414575.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3926,-0.0689,0.7922,-0.4597,0.0240,0.8259,-0.1943,0.1246,0.4269,0.951098,0.127185,-0.280854,-0.018930,414591.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3911,-0.0650,0.7869,-0.4583,0.0280,0.8206,-0.1942,0.1247,0.4269,0.951194,0.126546,-0.280835,-0.018632,414609.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3911,-0.0650,0.7869,-0.4583,0.0280,0.8206,-0.1942,0.1248,0.4269,0.951163,0.126350,-0.280995,-0.019136,414625.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3907,-0.0643,0.7858,-0.4579,0.0287,0.8194,-0.1942,0.1248,0.4268,0.951053,0.126592,-0.281241,-0.019394,414642.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3907,-0.0643,0.7858,-0.4579,0.0287,0.8193,-0.1942,0.1248,0.4266,0.950907,0.126773,-0.281642,-0.019568,414658.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3899,-0.0632,0.7840,-0.4572,0.0297,0.8173,-0.1943,0.1249,0.4265,0.950690,0.126506,-0.282488,-0.019622,414675.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3899,-0.0632,0.7840,-0.4572,0.0297,0.8172,-0.1944,0.1250,0.4264,0.950514,0.126085,-0.283274,-0.019528,414691.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3905,-0.0634,0.7842,-0.4579,0.0295,0.8174,-0.1944,0.1250,0.4263,0.950404,0.125900,-0.283725,-0.019519,414708.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3905,-0.0634,0.7842,-0.4579,0.0295,0.8174,-0.1944,0.1250,0.4262,0.950397,0.125686,-0.283860,-0.019307,414724.80,,,,,,,,,,,,,,,,,,,,,,,,,,
