Format Version,1.23,Take Name,kb_qpzapos_head_duck_left_on_space,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-11-28 06.31.16.349 PM,Total Frames in Take,8328,Total Exported Frames,8328,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
43,0.358333,-0.099229,0.001143,-0.027073,-0.994696,0.078342,1.264453,0.266914,0.092781,1.120612,0.714114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025929,1.279516,0.267619,0.077697,1.257523,0.302038,0.076208,1.298958,0.273875,0.118401,1.273581,0.267243
44,0.366667,-0.099240,0.001200,-0.027042,-0.994695,0.078357,1.264441,0.266930,0.092801,1.120618,0.714104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025943,1.279507,0.267627,0.077708,1.257510,0.302056,0.076227,1.298948,0.273894,0.118418,1.273566,0.267261
45,0.375000,-0.099175,0.001252,-0.026996,-0.994703,0.078371,1.264434,0.266943,0.092799,1.120625,0.714106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025960,1.279505,0.267631,0.077718,1.257507,0.302072,0.076242,1.298940,0.273904,0.118431,1.273554,0.267275
46,0.383333,-0.099215,0.001281,-0.026976,-0.994700,0.078384,1.264434,0.266949,0.092771,1.120632,0.714119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025975,1.279507,0.267637,0.077728,1.257505,0.302077,0.076258,1.298939,0.273913,0.118444,1.273553,0.267284
47,0.391667,-0.099175,0.001321,-0.026961,-0.994704,0.078398,1.264431,0.266956,0.092706,1.120654,0.714127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025990,1.279508,0.267635,0.077739,1.257503,0.302088,0.076271,1.298939,0.273917,0.118457,1.273549,0.267291
48,0.400000,-0.099196,0.001264,-0.026894,-0.994704,0.078409,1.264433,0.266966,0.092635,1.120679,0.714154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026008,1.279514,0.267658,0.077750,1.257504,0.302094,0.076286,1.298943,0.273927,0.118472,1.273545,0.267299
49,0.408333,-0.099251,0.001368,-0.026954,-0.994696,0.078437,1.264438,0.266972,0.092571,1.120665,0.714208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026032,1.279516,0.267658,0.077771,1.257503,0.302096,0.076308,1.298943,0.273931,0.118500,1.273556,0.267319
50,0.416667,-0.099112,0.001237,-0.026757,-0.994716,0.078469,1.264431,0.266976,0.092535,1.120665,0.714254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026069,1.279526,0.267671,0.077807,1.257511,0.302103,0.076349,1.298945,0.273933,0.118545,1.273528,0.267302
51,0.425000,-0.098920,0.001227,-0.026705,-0.994736,0.078514,1.264424,0.266976,0.092528,1.120673,0.714293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026110,1.279528,0.267665,0.077855,1.257516,0.302109,0.076406,1.298929,0.273918,0.118586,1.273526,0.267299
52,0.433333,-0.098715,0.001093,-0.026566,-0.994760,0.078560,1.264424,0.266988,0.092558,1.120664,0.714329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026161,1.279549,0.267686,0.077910,1.257528,0.302126,0.076456,1.298926,0.273911,0.118641,1.273518,0.267296
