kbPos,-0.8903,0.1796,-0.9374,kbRot,20.0000,273.7352,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_x,h_y,h_z,p_z,p_y,p_z,head_x,head_y,head_z,head_q_w,head_q_w,head_q_x,head_q_z,t,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8857,-0.1286,-0.8899,-0.4998,0.3107,-0.9964,0.698618,0.141667,-0.695664,0.088967,1104352.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8857,-0.1286,-0.8899,-0.5001,0.3105,-0.9967,0.698654,0.141775,-0.695539,0.089493,1104369.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8858,-0.1286,-0.8899,-0.5005,0.3104,-0.9969,0.698815,0.141720,-0.695361,0.089696,1104386.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8858,-0.1286,-0.8898,-0.5008,0.3103,-0.9971,0.699165,0.142001,-0.695022,0.089161,1104402.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8858,-0.1286,-0.8898,-0.5011,0.3103,-0.9973,0.699709,0.142850,-0.694444,0.088022,1104419.00,,,,,,,,,,,,,,,,,,,,,,,,,
0.8761,0.1730,-0.8390,0.8212,0.2683,-0.8642,-0.5014,0.3102,-0.9975,0.700228,0.143480,-0.693927,0.086944,1104438.00,,,,,,,,,,,,,,,,,,,,,,,,,
0.8761,0.1730,-0.8390,0.8212,0.2683,-0.8642,-0.5016,0.3102,-0.9977,0.700637,0.143733,-0.693553,0.086214,1104456.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8365,-0.1481,-0.8964,-0.8915,-0.0528,-0.9216,-0.5018,0.3102,-0.9979,0.700903,0.143506,-0.693404,0.085630,1104474.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8365,-0.1481,-0.8964,-0.8915,-0.0528,-0.9216,-0.5021,0.3103,-0.9982,0.701045,0.143043,-0.693375,0.085476,1104490.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8389,-0.1179,-0.9095,-0.8938,-0.0226,-0.9347,-0.5023,0.3103,-0.9985,0.701170,0.142517,-0.693340,0.085610,1104509.00,,,,,,,,,,,,,,,,,,,,,,,,,
