Scribe: Realistic Handriting in Tensorflow
     by Sam Greydanus



TRAINING MODE...
Namespace(alphabet=' abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ', batch_size=32, bias=1.0, data_dir='./data', data_scale=50, decay=0.95, dropout=0.85, grad_clip=10.0, kmixtures=1, learning_rate=0.0001, log_dir='./logs/', lr_decay=1.0, momentum=0.9, nbatches=500, nepochs=250, nmixtures=8, optimizer='rmsprop', rnn_size=100, save_every=500, save_path='saved/model.ckpt', sleep_time=300, style=-1, text='', train=True, tsteps=2650, tsteps_per_ascii=25)

loading data...
	loaded dataset:
		970 train individual data points
		51 valid individual data points
		30 batches
building model...
	using alphabet abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ
attempt to load saved model...
loaded model: saved\model.ckpt-89000
training...
learning rate: 9.999999747378752e-05
90180/125000, loss = -15.227, regloss = -14.64288, valid_loss = -14.019, time = 3.295
90190/125000, loss = -15.407, regloss = -14.72089, valid_loss = -14.183, time = 3.493
90200/125000, loss = -15.451, regloss = -14.79114, valid_loss = -14.181, time = 3.506
90210/125000, loss = -15.373, regloss = -14.85709, valid_loss = -14.182, time = 3.301
90220/125000, loss = -15.410, regloss = -14.91621, valid_loss = -14.138, time = 3.478
90230/125000, loss = -15.448, regloss = -14.97213, valid_loss = -14.188, time = 5.416
90240/125000, loss = -15.454, regloss = -15.02213, valid_loss = -14.131, time = 3.465
90250/125000, loss = -15.500, regloss = -15.06922, valid_loss = -14.204, time = 3.544
90260/125000, loss = -15.356, regloss = -15.11313, valid_loss = -14.174, time = 3.290
90270/125000, loss = -15.460, regloss = -15.15247, valid_loss = -14.020, time = 3.318
90280/125000, loss = -15.546, regloss = -15.18859, valid_loss = -14.202, time = 3.298
90290/125000, loss = -15.918, regloss = -15.23792, valid_loss = -14.209, time = 3.504
90300/125000, loss = -15.436, regloss = -15.19873, valid_loss = -13.062, time = 3.290
90310/125000, loss = -14.845, regloss = -15.07603, valid_loss = -12.088, time = 3.496
90320/125000, loss = -14.607, regloss = -15.08046, valid_loss = -13.829, time = 3.434
90330/125000, loss = -14.626, regloss = -15.11420, valid_loss = -14.672, time = 3.631
90340/125000, loss = -16.231, regloss = -15.13570, valid_loss = -11.050, time = 3.511
90350/125000, loss = -13.664, regloss = -14.98336, valid_loss = -10.233, time = 3.601
90360/125000, loss = -13.103, regloss = -14.89426, valid_loss = -13.669, time = 3.528
90370/125000, loss = -16.125, regloss = -14.89869, valid_loss = -12.727, time = 3.664
90380/125000, loss = -15.231, regloss = -14.84223, valid_loss = -12.898, time = 3.486
90390/125000, loss = -15.507, regloss = -14.79045, valid_loss = -13.978, time = 3.944
90400/125000, loss = -14.888, regloss = -14.75618, valid_loss = -12.034, time = 3.505
90410/125000, loss = -14.424, regloss = -14.56477, valid_loss = -12.827, time = 3.477
90420/125000, loss = -14.760, regloss = -14.48395, valid_loss = -14.541, time = 3.610
90430/125000, loss = -15.213, regloss = -14.57845, valid_loss = -13.509, time = 3.561
90440/125000, loss = -14.171, regloss = -14.52494, valid_loss = -12.633, time = 3.509
90450/125000, loss = -14.041, regloss = -14.49738, valid_loss = -12.112, time = 5.237
90460/125000, loss = -15.330, regloss = -14.44611, valid_loss = -13.071, time = 3.482
90470/125000, loss = -14.124, regloss = -14.43505, valid_loss = -11.867, time = 3.523
90480/125000, loss = -13.658, regloss = -14.42332, valid_loss = -11.219, time = 3.587
90490/125000, loss = -15.394, regloss = -14.40898, valid_loss = -13.359, time = 3.578
learning rate: 9.999999747378752e-05
SAVED MODEL
90500/125000, loss = -15.812, regloss = -14.49319, valid_loss = -14.048, time = 3.587
90510/125000, loss = -15.925, regloss = -14.62446, valid_loss = -14.394, time = 3.649
90520/125000, loss = -15.764, regloss = -14.52317, valid_loss = -11.420, time = 3.696
90530/125000, loss = -15.423, regloss = -14.42144, valid_loss = -13.517, time = 3.413
90540/125000, loss = -15.420, regloss = -14.43887, valid_loss = -13.206, time = 3.480
90550/125000, loss = -13.946, regloss = -14.46543, valid_loss = -13.627, time = 3.566
90560/125000, loss = -14.954, regloss = -14.53527, valid_loss = -13.994, time = 3.562
90570/125000, loss = -15.813, regloss = -14.63334, valid_loss = -14.464, time = 3.436
90580/125000, loss = -15.134, regloss = -14.56745, valid_loss = -12.827, time = 3.586
90590/125000, loss = -10.123, regloss = -14.39700, valid_loss = -13.334, time = 3.570
90600/125000, loss = -12.107, regloss = -14.20041, valid_loss = -6.086, time = 3.528
90610/125000, loss = -15.426, regloss = -14.08183, valid_loss = -13.546, time = 3.589
90620/125000, loss = -15.926, regloss = -14.19848, valid_loss = -13.732, time = 3.526
90630/125000, loss = -14.980, regloss = -14.28718, valid_loss = -14.295, time = 3.587
90640/125000, loss = -15.655, regloss = -14.40847, valid_loss = -13.869, time = 3.642
90650/125000, loss = -15.844, regloss = -14.51062, valid_loss = -13.744, time = 3.574
90660/125000, loss = -14.689, regloss = -14.53718, valid_loss = -13.111, time = 3.654
90670/125000, loss = -16.124, regloss = -14.54336, valid_loss = -12.275, time = 3.565
90680/125000, loss = -5.901, regloss = -14.10701, valid_loss = -11.565, time = 3.762
90690/125000, loss = -14.872, regloss = -14.05131, valid_loss = -12.601, time = 3.541
90700/125000, loss = -14.034, regloss = -14.05000, valid_loss = -10.658, time = 3.530
90710/125000, loss = -15.763, regloss = -14.06479, valid_loss = -13.250, time = 3.525
90720/125000, loss = -14.071, regloss = -14.15040, valid_loss = -14.192, time = 3.570
90730/125000, loss = -14.567, regloss = -14.24843, valid_loss = -12.741, time = 3.529
90740/125000, loss = -15.835, regloss = -14.35327, valid_loss = -13.828, time = 3.528
90750/125000, loss = -15.197, regloss = -14.41162, valid_loss = -14.551, time = 3.569
90760/125000, loss = -16.028, regloss = -14.55071, valid_loss = -13.733, time = 3.583
90770/125000, loss = -15.844, regloss = -14.65531, valid_loss = -14.131, time = 3.680
90780/125000, loss = -14.052, regloss = -14.74063, valid_loss = -12.572, time = 3.540
90790/125000, loss = -14.349, regloss = -14.75911, valid_loss = -14.537, time = 3.519
90800/125000, loss = -14.865, regloss = -14.74943, valid_loss = -14.428, time = 3.508
90810/125000, loss = -13.421, regloss = -14.55898, valid_loss = -12.338, time = 3.611
90820/125000, loss = -15.617, regloss = -14.38967, valid_loss = -10.704, time = 3.551
90830/125000, loss = -12.953, regloss = -14.14112, valid_loss = -11.240, time = 3.596
